"","Url","TipusImmoble","Zona","PreuInicial","Sup_m2","NumHabitacions","NumBanys","AnyConstruccio","Planta","Parking","Calefaccio","AC","Moblat","EficienciaEnergetica","ClasseEmissions","Jardi","Ascensor","PreuActual","HaEstatLlogat","PreuMetre2"
"67","https://www.habitaclia.com/alquiler-casa-fantastica_torre_de_lujo_de_800m2_sobre_parcela_de_1000m2_en_p_gava_mar-gava-i10471002332312.htm?pag=52&f=&geo=c&from=list&lo=55","casa","Gava Mar",14000,800,6,6,2005,4,FALSE,FALSE,FALSE,FALSE,"G","G",FALSE,FALSE,14000,TRUE,17.5
"68","https://www.habitaclia.com/alquiler-piso-fantastico_de_4_hab_en_edificio_con_3_piscinas_comunitarias_sarria-barcelona-i10471002332313.htm?pag=243&f=&geo=c&from=list&lo=55","piso","Sarrià",3650,125,4,2,2019,3,TRUE,TRUE,TRUE,TRUE,"G","G",FALSE,TRUE,3650,TRUE,29.2
"69","https://www.habitaclia.com/alquiler-piso-fantastico_de_2_hab_en_edificio_con_3_piscinas_comunitarias_sarria-barcelona-i10471002332315.htm?pag=234&f=&geo=c&from=list&lo=55","piso","Sarrià",2515,88,2,3,2019,2,TRUE,TRUE,TRUE,TRUE,"G","G",FALSE,TRUE,2515,TRUE,28.5795454545455
"70","https://www.habitaclia.com/alquiler-piso-vivienda_de_dos_habitaciones_reformado_ascensor_sagrada_familia-barcelona-i1054003272008.htm?pag=277&f=&geo=c&from=list&lo=55","piso","Sagrada Família",900,42,2,2,1954,1,FALSE,FALSE,FALSE,TRUE,"G","G",FALSE,TRUE,900,FALSE,21.4285714285714
"71","https://www.habitaclia.com/alquiler-piso-enamorats_castillejos_reformado_2hb_balcon_ascensor_sagrada_familia-barcelona-i1054003272009.htm?pag=257&f=&geo=c&from=list&lo=55","piso","Sagrada Família",1000,54,3,2,1969,3,FALSE,FALSE,FALSE,TRUE,"G","G",FALSE,TRUE,1000,FALSE,18.5185185185185
"72","https://www.habitaclia.com/alquiler-loft-en_el_gotico_gotic-barcelona-i10636003565322.htm?pag=88&f=&geo=c&from=list&lo=55","otros","Gòtic",1100,50,3,2,1900,1,FALSE,TRUE,FALSE,FALSE,"E","E",FALSE,TRUE,1100,FALSE,22
"73","https://www.habitaclia.com/alquiler-piso-amueblado_de_2h_y_2b_calle_aviacio_16_les_corts-barcelona-i1065003754291.htm?pag=338&f=&geo=c&from=list&lo=55","piso","Les Corts",1300,65,2,2,2006,2,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,FALSE,1300,FALSE,20
"74","https://www.habitaclia.com/alquiler-piso-a_estrenar_zona_illa_les_corts-barcelona-i1067003731977.htm?pag=94&f=&geo=c&from=list&lo=55","piso","Les Corts",1975,110,4,2,1958,5,FALSE,TRUE,TRUE,TRUE,"G","G",FALSE,TRUE,1975,FALSE,17.9545454545455
"75","https://www.habitaclia.com/alquiler-apartamento-moderno_y_funcional_dreta_de_l_eixample-barcelona-i10718002846109.htm?pag=81&f=&geo=c&from=list&lo=55","piso","Dreta de l´Eixample",2100,70,2,2,2003,3,FALSE,TRUE,TRUE,FALSE,"D","D",FALSE,TRUE,2100,FALSE,30
"76","https://www.habitaclia.com/alquiler-apartamento-moderno_y_acogedor_piso_diagonal_mar_la_mar_bella-barcelona-i10718003554834.htm?pag=63&f=&geo=c&from=list&lo=55","piso","Diagonal Mar - La Mar Bella",2300,85,3,2,2015,2,FALSE,TRUE,TRUE,FALSE,"C","C",FALSE,TRUE,2300,FALSE,27.0588235294118
"77","https://www.habitaclia.com/alquiler-apartamento-frente_a_la_pedrera_dreta_de_l_eixample-barcelona-i10718003586654.htm?pag=37&f=&geo=c&from=list&lo=55","piso","Dreta de l´Eixample",4990,143,3,3,1970,2,TRUE,TRUE,TRUE,TRUE,"D","D",FALSE,TRUE,4990,FALSE,34.8951048951049
"78","https://www.habitaclia.com/alquiler-apartamento-amplio_y_bonito_piso_dreta_de_l_eixample-barcelona-i10718003599680.htm?pag=23&f=&geo=c&from=list&lo=55","piso","Dreta de l´Eixample",1550,120,4,2,1940,1,FALSE,TRUE,TRUE,TRUE,"E","E",FALSE,TRUE,1550,FALSE,12.9166666666667
"79","https://www.habitaclia.com/alquiler-apartamento-piso_en_en_calle_bruc_dreta_de_l_eixample-barcelona-i10718003678491.htm?pag=64&f=&geo=c&from=list&lo=55","piso","Dreta de l´Eixample",2300,170,6,3,1953,5,FALSE,TRUE,FALSE,TRUE,"E","E",FALSE,TRUE,2300,FALSE,13.5294117647059
"80","https://www.habitaclia.com/alquiler-apartamento-piso_con_terraza_calle_dreta_de_l_eixample-barcelona-i10718003732557.htm?pag=72&f=&geo=c&from=list&lo=55","piso","Dreta de l´Eixample",2300,160,5,4,1954,1,FALSE,TRUE,FALSE,TRUE,"E","E",FALSE,FALSE,2300,FALSE,14.375
